task_id,phase,stratum,replicate,arm,run_status,released,candidate_present,served_task_pass,served_answer_accuracy,served_evidence_accuracy,raw_task_pass,raw_answer_accuracy,raw_evidence_accuracy,event_count,failed_events,worker_events,jev_events,total_tokens_known,total_tokens_complete,cost_known,cost_complete,elapsed_seconds
DEV-01,development,short_direct,0,A,complete,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,412,True,0.003085,True,4.703
DEV-01,development,short_direct,0,B,complete,True,True,True,1.0,1.0,True,1.0,1.0,3,0,1,2,2648,True,0.0056803059999999995,True,3.109
DEV-02,development,cross_document,0,A,partial,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,3338,True,0.02416,True,2.937
DEV-02,development,cross_document,0,B,partial,True,True,True,1.0,1.0,True,1.0,1.0,3,0,1,2,10204,True,0.00943015,True,5.657
E-S01,evaluation,short_direct,0,A,complete,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,673,True,0.009715,True,6.234
E-S01,evaluation,short_direct,0,B,complete,True,True,True,1.0,1.0,True,1.0,1.0,3,0,1,2,2957,True,0.010535136,True,5.094
E-S02,evaluation,short_direct,0,A,complete,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,541,True,0.004505,True,2.328
E-S02,evaluation,short_direct,0,B,failed,False,True,False,0.0,0.0,True,1.0,1.0,3,0,1,2,2988,True,0.007287656,True,3.125
E-S03,evaluation,short_direct,0,A,complete,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,511,True,0.004305,True,2.156
E-S03,evaluation,short_direct,0,B,complete,True,True,True,1.0,1.0,True,1.0,1.0,3,0,1,2,2925,True,0.0070862699999999995,True,3.531
E-S04,evaluation,short_direct,0,A,complete,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,628,True,0.00494,True,3.891
E-S04,evaluation,short_direct,0,B,complete,True,True,True,1.0,1.0,True,1.0,1.0,3,0,1,2,3375,True,0.007733492,True,3.297
E-N01,evaluation,noisy_retrieval,0,A,complete,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,4174,True,0.0279125,True,3.015
E-N01,evaluation,noisy_retrieval,0,B,complete,True,True,True,1.0,1.0,True,1.0,1.0,3,0,1,2,12215,True,0.008206164,True,4.938
E-N02,evaluation,noisy_retrieval,0,A,complete,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,4129,True,0.02729875,True,3.109
E-N02,evaluation,noisy_retrieval,0,B,failed,False,True,False,0.0,0.0,True,1.0,1.0,3,0,1,2,12106,True,0.0077179300000000004,True,4.594
E-N03,evaluation,noisy_retrieval,0,A,complete,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,3986,True,0.02647625,True,2.469
E-N03,evaluation,noisy_retrieval,0,B,complete,True,True,True,1.0,1.0,True,1.0,1.0,3,0,1,2,12240,True,0.011311916,True,5.578
E-N04,evaluation,noisy_retrieval,0,A,complete,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,4193,True,0.0282925,True,2.516
E-N04,evaluation,noisy_retrieval,0,B,complete,True,True,True,1.0,1.0,True,1.0,1.0,3,0,1,2,12297,True,0.00863339,True,4.359
E-C01,evaluation,cross_document,0,A,complete,True,True,True,1.0,1.0,True,1.0,1.0,1,0,1,0,4171,True,0.03074375,True,3.406
E-C01,evaluation,cross_document,0,B,complete,True,True,True,1.0,1.0,True,1.0,1.0,3,0,1,2,12759,True,0.017149046,True,4.938
E-C02,evaluation,cross_document,0,A,complete,True,True,False,1.0,0.5,False,1.0,0.5,1,0,1,0,4208,True,0.03080875,True,3.594
E-C02,evaluation,cross_document,0,B,failed,False,True,False,0.0,0.0,True,1.0,1.0,5,0,2,3,23044,True,0.052509942000000004,True,9.906
E-C03,evaluation,cross_document,0,A,partial,True,True,False,1.0,0.75,False,1.0,0.75,1,0,1,0,4083,True,0.0275575,True,3.984
E-C03,evaluation,cross_document,0,B,failed,False,True,False,0.0,0.0,True,1.0,1.0,3,0,1,2,12496,True,0.012663342,True,4.141
E-C04,evaluation,cross_document,0,A,partial,True,True,False,1.0,0.3333333333333333,False,1.0,0.3333333333333333,1,0,1,0,3645,True,0.03268125,True,5.546
E-C04,evaluation,cross_document,0,B,failed,False,True,False,0.0,0.0,False,1.0,0.5,5,0,2,3,21986,True,0.07985871,True,15.422
